"group_id","lang_code"
"d86c55ce-54d8-41cd-825a-3d9f555de124","en"
"9f8bf292-312f-45ec-81aa-7912f75659cb","fr"
"2ed5d8a8-d6e2-4a44-9cab-612e9542e262","en"
"5eec3189-97ac-4f6b-950f-b72786c5846e","id"
"01eefe54-4e7d-4247-a659-3861b8f45efc","vi"
"c4730b44-1f05-4265-9e4c-c8f39abdbc5d","en"
"d0f5441d-5ec5-4103-8fb0-502a4365f4f8","ru"
"42f22b21-1701-4b4b-a68b-4942e3cdeaf5","pl"
"01ac85c9-a024-47b5-b3f3-95818db9b700","en"
"e6573130-3e9c-4162-aeed-cad9f7600209","en"
"5a517fb7-6ea3-48c9-8dcc-f519c39988fe","en"
"3784ef1b-a6da-4412-ba87-67ee8711c164","en"
"3c4c23f8-a15c-48ca-a1b9-4d4c6e5f31f6","es-la"
"a1431061-ed9e-4c82-a927-2e8bb6f0f276","it"
"c382e797-7f7a-403d-8c53-9402c0dbaf29","pt-br"
"35fb7a9b-49a8-41c5-b0d0-73c634ce7f7b","en"
"d195af10-9643-4470-9ea4-6c3cae82dd45","es-la"
"a8072b58-6fe0-4037-b81f-4c431eb9fddb","pl"
"2138c128-97f1-410b-9498-a9e58bc5ca91","en"
"ede42574-8939-4311-b86f-cf75f25283f3","pt-br"
"30581831-bd6d-44f1-88b3-13998d749535","en"
"5c88efce-72a3-4c97-97e1-7cede568a505","en"
"0e16b7c8-4d3a-4bbc-9120-27f34219f25b","en"
"2b404af9-f152-473e-88d2-0c6848f703ea","en"
"4072291e-f53d-4382-93e7-6f92cce5c384","es-la"
"399d864f-74e2-4dd8-861d-7c269ff4596d","hi"
"b4595ccc-9446-426c-a7b4-3e6737a91d7c","fr"
"9a63a855-c59c-4d96-b893-fda56454db35","en"
"bd2c2198-558c-411b-a532-dda00b63398a","vi"
"eff31cf4-578d-41e9-898b-c05ada4685ee","tr"
"8ede51c3-e2c7-4842-b0f5-8b335996ffc8","id"
